date,Low,High
2020-08-25,16918.103515625,17230.119140625
2020-08-26,16952.7734375,17403.458984375
2020-08-27,17056.77734375,17368.791015625
2020-08-28,17195.451171875,17611.46875
2020-08-31,17472.796875,18166.162109375
2020-09-01,17750.142578125,18131.4921875
2020-09-03,17923.484375,18443.5078125
2020-09-04,17750.142578125,18304.833984375
2020-09-07,17334.123046875,18131.4921875
2020-09-08,17195.451171875,17715.474609375
2020-09-09,17368.791015625,17680.806640625
2020-09-10,17542.1328125,17784.810546875
2020-09-11,17438.12890625,17819.478515625
2020-09-14,17715.474609375,18027.48828125
2020-09-15,17611.46875,17854.146484375
2020-09-16,17438.12890625,17646.13671875
2020-09-17,17507.46484375,17784.810546875
2020-09-18,17611.46875,17923.484375
2020-09-21,17750.142578125,18131.4921875
2020-09-22,17680.806640625,17923.484375
2020-09-23,17958.15234375,18443.5078125
2020-09-24,17923.484375,18235.498046875
2020-09-25,17819.478515625,18166.162109375
2020-09-28,18304.833984375,19032.8671875
2020-09-29,18443.5078125,18998.19921875
2020-09-30,18200.830078125,18547.51171875
2020-10-01,18408.83984375,18720.853515625
2020-10-02,18235.498046875,18998.19921875
2020-10-05,18894.1953125,19171.541015625
2020-10-06,18859.525390625,19171.541015625
2020-10-07,18720.853515625,19240.876953125
2020-10-08,18582.1796875,18998.19921875
2020-10-09,18859.525390625,19275.544921875
2020-10-12,19934.2421875,20488.93359375
2020-10-13,19934.2421875,21494.3125
2020-10-14,20800.947265625,21390.30859375
2020-10-15,20800.947265625,21147.630859375
2020-10-16,20939.62109375,21806.328125
2020-10-19,22118.341796875,22499.69140625
2020-10-20,21979.66796875,22395.6875
2020-10-21,21528.98046875,22499.69140625
2020-10-22,21355.640625,22187.677734375
2020-10-23,21910.33203125,22361.01953125
2020-10-26,21147.630859375,22118.341796875
2020-10-27,20974.2890625,21563.650390625
2020-10-28,20731.611328125,21459.64453125
2020-10-29,20176.919921875,20939.62109375
2020-10-30,19552.890625,20454.265625
2020-11-02,20246.255859375,21078.294921875
2020-11-03,20870.28515625,21286.302734375
2020-11-04,20870.28515625,21494.3125
2020-11-05,20974.2890625,21424.9765625
2020-11-06,20939.62109375,21251.634765625
2020-11-09,21251.634765625,21563.650390625
2020-11-10,21216.966796875,21806.328125
2020-11-11,21078.294921875,21424.9765625
2020-11-12,21216.966796875,21667.654296875
2020-11-13,21632.986328125,22187.677734375
2020-11-16,22049.005859375,22673.033203125
2020-11-17,22187.677734375,22638.365234375
2020-11-18,22430.35546875,22811.70703125
2020-11-19,22569.029296875,23089.052734375
2020-11-20,22846.375,23193.056640625
2020-11-23,22603.697265625,23019.716796875
2020-11-24,22534.361328125,22985.046875
2020-11-25,22811.70703125,23227.724609375
2020-11-26,22846.375,23747.75
2020-11-27,23574.408203125,23921.08984375
2020-11-30,23227.724609375,23713.080078125
2020-12-01,22811.70703125,23574.408203125
2020-12-02,23297.0625,23713.080078125
2020-12-03,23366.3984375,23609.076171875
2020-12-04,23505.072265625,24198.435546875
2020-12-07,23990.427734375,24337.109375
2020-12-08,23782.41796875,24094.431640625
2020-12-09,23886.421875,24198.435546875
2020-12-10,23574.408203125,24198.435546875
2020-12-11,23539.740234375,24129.099609375
2020-12-14,24198.435546875,24683.791015625
2020-12-15,24025.095703125,24545.119140625
2020-12-16,24337.109375,24614.455078125
2020-12-17,23643.744140625,24337.109375
2020-12-18,23643.744140625,23990.427734375
2020-12-21,23921.08984375,24579.787109375
2020-12-22,24094.431640625,24545.119140625
2020-12-23,23851.75390625,24267.7734375
2020-12-24,22326.3515625,24129.099609375
2020-12-25,23089.052734375,24059.763671875
2020-12-28,23713.080078125,24406.4453125
2020-12-29,23643.744140625,23955.7578125
2020-12-30,23678.412109375,24233.10546875
2020-12-31,23817.0859375,24094.431640625
2021-01-04,24198.435546875,24961.138671875
2021-01-05,24406.4453125,24926.46875
2021-01-06,24753.12890625,26243.86328125
2021-01-07,26625.212890625,27491.919921875
2021-01-08,26694.55078125,27387.9140625
2021-01-11,26763.88671875,27457.251953125
2021-01-12,26417.203125,26971.896484375
2021-01-13,26694.55078125,27353.24609375
2021-01-14,26694.55078125,27283.91015625
2021-01-15,27249.2421875,27803.93359375
2021-01-18,26763.88671875,27630.591796875
2021-01-19,24891.80078125,26763.88671875
2021-01-20,23435.734375,25238.484375
2021-01-21,24614.455078125,25654.501953125
2021-01-22,25446.4921875,26555.876953125
2021-01-25,25307.8203125,26035.853515625
2021-01-26,23921.08984375,25342.48828125
2021-01-27,22534.361328125,24371.77734375
